id;name;description;coverage_percentage;start_date;coverage_period;price;insurance_type;risk_type
1;mobile Fish;Home Loan Account Table Computer;0.58;2019-10-07T02:46:12;86617;33370;FIRE;LOW
2;Implementation Electronics Officer;methodology Albania;0.43;2019-10-07T13:14:18;29122;52477;ROBBERY;LOW
3;Savings Account syndicate Planner;Refined Rubber Chicken Table;0.65;2019-10-07T13:28:25;94888;94220;FIRE;MID
4;Bahamian Dollar Investment Account;Games Regional Digitized;0.66;2019-10-06T19:39:48;31171;42515;FIRE;LOW
5;Views e-enable Communications;National Awesome sky blue;0.45;2019-10-06T14:43:26;32533;84453;FIRE;MID
6;bifurcated scalable;Small;0.28;2019-10-07T03:37:49;77224;39488;EARTHQUAKE;HIGH
7;monitor 1080p Checking Account;world-class Frozen IB;0.62;2019-10-07T03:00:19;33089;9541;EARTHQUAKE;MID
8;Mississippi embrace Developer;synthesize Idaho compress;0.49;2019-10-07T12:49:17;52273;71066;FIRE;MIDLOW
9;Harbor Montana;Corporate Phased relationships;0.75;2019-10-07T08:55:06;22879;94285;ROBBERY;MID
10;Refined Squares;maroon;0.89;2019-10-06T16:35:36;53934;32434;LOST;MIDLOW
